bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
1859,1021.9,67421.87,67742.1,-434.6,210.5,1.402
1860,1022.45,67480.23,67805.7,-445.9,208.6,1.239
1861,1023,67546.31,67869.3,-439.6,209.7,1.324
1862,1023.55,67608.18,67932.9,-438.3,209.9,1.342
1863,1024.1,67669.24,67996.5,-442.9,209.1,1.284
1864,1024.65,67733.09,68060.1,-443,209.1,1.279
1865,1025.2,67797.21,68123.96667,-438.6,209.8,1.331
1866,1025.75,67858.85,68187.83333,-441.7,209.3,1.294
1867,1026.3,67922.29,68251.7,-445.4,208.7,1.233
1868,1026.85,67988.89,68317.13333,-440.6,209.5,1.298
1869,1027.4,68052.18,68382.56667,-444.1,208.9,1.259
1870,1027.95,68117.46,68448,-443.3,209.1,1.256
1871,1028.5,68182.92,68512.96667,-444.4,208.9,1.249
1872,1029.05,68248.79,68577.93333,-440.9,209.5,1.297
1873,1029.6,68312.25,68642.9,-441.2,209.4,1.297
1874,1030.15,68375.73,68706.46667,-444.2,208.9,1.255
1875,1030.7,68441.36,68770.03333,-440.5,209.5,1.335
1876,1031.25,68503.09,68833.6,-434.6,210.5,1.387
1877,1031.8,68562.52,68895.56667,-442.5,209.2,1.309
1878,1032.35,68625.52,68957.53333,-442.6,209.2,1.274
1879,1032.9,68690.27,69019.5,-443.8,209,1.302
1880,1033.45,68753.66,69079.56667,-430.5,211.2,1.43
1881,1034,68811.41,69139.63333,-441.1,209.4,1.359
1882,1034.55,68872.2,69199.7,-439.5,209.7,1.336
1883,1035.1,68934.06,69261.1,-437.5,210,1.371
1884,1035.65,68994.38,69322.5,-442.3,209.2,1.279
1885,1036.2,69059.06,69383.9,-445.8,208.7,1.226
1886,1036.75,69126.57,69450.13333,-445.1,208.8,1.226
1887,1037.3,69194.12,69516.36667,-443.9,209,1.283
1888,1037.85,69258.69,69582.6,-434.7,210.5,1.398
1889,1038.4,69317.97,69639.6,-436.2,210.2,1.423
1890,1038.95,69376.24,69696.6,-435.5,210.4,1.429
1891,1039.5,69434.29,69753.6,-433.5,210.7,1.47
1892,1040.05,69490.74,69810.6,-436.9,210.1,1.414
1893,1040.6,69549.45,69867.6,-434.6,210.5,1.417
1894,1041.15,69608.06,69924.6,-439.7,209.7,1.371
1895,1041.7,69668.66,69985.76667,-436.9,210.1,1.372
1896,1042.25,69729.24,70046.93333,-444.7,208.8,1.253
1897,1042.8,69795.61,70108.1,-441.9,209.3,1.284
1898,1043.35,69860.4,70172.2,-441.7,209.3,1.282
1899,1043.9,69925.31,70236.3,-446.5,208.5,1.219
1900,1044.45,69993.61,70300.4,-441.3,209.4,1.272
1901,1045,70059.09,70364.26667,-446.3,208.6,1.232
1902,1045.55,70126.72,70428.13333,-440.7,209.5,1.298
1903,1046.1,70190.94,70492,-443.6,209,1.265
1904,1046.65,70256.85,70554.46667,-442.2,209.3,1.281
1905,1047.2,70321.97,70616.93333,-441.6,209.4,1.297
1906,1047.75,70386.3,70679.4,-431.7,211,1.5
1907,1048.3,70441.96,70737.4,-439.2,209.7,1.355
1908,1048.85,70503.59,70795.4,-441.1,209.4,1.325
1909,1049.4,70566.64,70853.4,-438.3,209.9,1.377
1910,1049.95,70627.33,70908.36667,-429.6,211.3,1.539
1911,1050.5,70681.65,70963.33333,-433.7,210.7,1.48
1912,1051.05,70738.15,71018.3,-431.8,211,1.504
1913,1051.6,70793.77,71074.1,-435.9,210.3,1.425
1914,1052.15,70852.49,71129.9,-437.6,210,1.411
1915,1052.7,70911.81,71185.7,-433.2,210.7,1.456
1916,1053.25,70969.32,71240.83333,-434.4,210.5,1.468
1917,1053.8,71026.38,71295.96667,-432.3,210.9,1.497
1918,1054.35,71082.35,71351.1,-434.6,210.5,1.463
1919,1054.9,71139.64,71403.86667,-429,211.4,1.58
1920,1055.45,71192.71,71456.63333,-428.2,211.6,1.585
1921,1056,71245.63,71509.4,-433.6,210.7,1.53
1922,1056.55,71300.48,71561.4,-425.9,211.9,1.614
1923,1057.1,71352.49,71613.4,-428.4,211.5,1.621
1924,1057.65,71404.3,71665.4,-427.9,211.6,1.621
1925,1058.2,71456.12,71714.26667,-426.7,211.8,1.688
1926,1058.75,71505.91,71763.13333,-419.4,213,1.764
1927,1059.3,71553.57,71812,-424.5,212.2,1.759
1928,1059.85,71601.38,71859.36667,-421.9,212.6,1.764
1929,1060.4,71649.08,71906.73333,-422,212.6,1.797
1930,1060.95,71695.91,71954.1,-418.5,213.2,1.853
1931,1061.5,71741.35,72000.13333,-421.2,212.7,1.81
1932,1062.05,71787.89,72046.16667,-421.4,212.7,1.796
1933,1062.6,71834.8,72092.2,-424.1,212.2,1.724
1934,1063.15,71883.7,72142.53333,-420.7,212.8,1.783
1935,1063.7,71930.99,72192.86667,-434.7,210.5,1.474
1936,1064.25,71988.23,72243.2,-432,210.9,1.547
1937,1064.8,72042.79,72294.7,-419.7,213,1.766
1938,1065.35,72090.59,72346.2,-430.9,211.1,1.578
1939,1065.9,72144.12,72397.7,-426.8,211.8,1.637
1940,1066.45,72195.73,72447.83333,-425.6,212,1.68
1941,1067,72246.05,72497.96667,-424.4,212.2,1.706
1942,1067.55,72295.62,72548.1,-424.6,212.2,1.681
1943,1068.1,72345.94,72600.66667,-430.7,211.2,1.566
1944,1068.65,72399.98,72653.23333,-431.6,211,1.543
1945,1069.2,72454.86,72705.8,-429.1,211.4,1.571
1946,1069.75,72508.79,72757.13333,-429.7,211.3,1.615
1947,1070.3,72561.27,72808.46667,-423.5,212.3,1.662
1948,1070.85,72612.29,72859.8,-428.7,211.5,1.626
1949,1071.4,72664.46,72912.06667,-429.5,211.4,1.589
1950,1071.95,72717.86,72964.33333,-428.4,211.5,1.591
1951,1072.5,72771.23,73016.6,-430.5,211.2,1.566
1952,1073.05,72825.47,73069.3,-429.9,211.3,1.571
1953,1073.6,72879.55,73122,-428.1,211.6,1.607
1954,1074.15,72932.45,73174.7,-431.1,211.1,1.542
1955,1074.7,72987.59,73228.73333,-432.3,210.9,1.518
1956,1075.25,73043.64,73282.76667,-430.2,211.3,1.525
1957,1075.8,73099.45,73336.8,-437,210.1,1.457
1958,1076.35,73157.88,73392.46667,-430.9,211.1,1.495
1959,1076.9,73214.86,73448.13333,-434.2,210.6,1.489
1960,1077.45,73272.08,73503.8,-432.5,210.9,1.487
1961,1078,73329.41,73562.63333,-438.2,209.9,1.377
1962,1078.55,73391.34,73621.46667,-442.2,209.3,1.319
1963,1079.1,73456.01,73680.3,-436.2,210.3,1.386
1964,1079.65,73517.59,73739.43333,-437.7,210,1.39
1965,1080.2,73579,73798.56667,-438.8,209.9,1.365
1966,1080.75,73641.57,73857.7,-438,210,1.391
1967,1081.3,73703,73915.06667,-434.8,210.5,1.44
1968,1081.85,73762.34,73972.43333,-434.5,210.6,1.458
1969,1082.4,73820.99,74029.8,-434.7,210.5,1.459
1970,1082.95,73879.61,74085.3,-433.4,210.7,1.485
1971,1083.5,73937.23,74140.8,-431.9,211,1.513
1972,1084.05,73993.81,74196.3,-434.9,210.5,1.489
1973,1084.6,74051.31,74249.9,-428.4,211.6,1.567
1974,1085.15,74105.98,74303.5,-430.3,211.3,1.588
1975,1085.7,74159.93,74357.1,-428,211.6,1.611
1976,1086.25,74213.14,74410.23333,-427.6,211.7,1.593
1977,1086.8,74266.97,74463.36667,-434.3,210.6,1.534
1978,1087.35,74322.88,74516.5,-425.9,212,1.618
1979,1087.9,74375.91,74569.46667,-431.6,211.1,1.558
1980,1088.45,74430.98,74622.43333,-427.7,211.7,1.62
1981,1089,74483.98,74675.4,-433.4,210.8,1.515
1982,1089.55,74540.68,74728.53333,-422.1,212.6,1.732
1983,1090.1,74590.27,74781.66667,-430.5,211.2,1.591
1984,1090.65,74644.3,74834.8,-426.4,211.9,1.651
1985,1091.2,74696.36,74886.66667,-426.4,211.9,1.67
1986,1091.75,74747.86,74938.53333,-425.7,212,1.666
1987,1092.3,74799.5,74990.4,-428.8,211.5,1.639
1988,1092.85,74851.99,75041.56667,-425.3,212.1,1.679
1989,1093.4,74903.27,75092.73333,-424.9,212.2,1.774
1990,1093.95,74951.8,75143.9,-414.2,213.9,1.901
1991,1094.5,74997.11,75191.03333,-421.4,212.7,1.845
1992,1095.05,75043.82,75238.16667,-422.2,212.6,1.788
1993,1095.6,75092.02,75285.3,-422.4,212.6,1.792
1994,1096.15,75140.15,75333.1,-418,213.3,1.895
1995,1096.7,75185.66,75380.9,-423.3,212.4,1.759
1996,1097.25,75234.73,75428.7,-416.1,213.6,1.953
1997,1097.8,75278.93,75475.73333,-419.4,213.1,1.855
1998,1098.35,75325.48,75522.76667,-424.3,212.3,1.778
1999,1098.9,75374.07,75569.8,-418.6,213.2,1.851
2000,1099.45,75420.76,75616.46667,-420,213,1.869
2001,1100,75467.02,75663.13333,-418.9,213.2,1.901
2002,1100.55,75512.52,75709.8,-415.9,213.7,2.002
2003,1101.1,75555.73,75753.13333,-410.1,214.6,2.063
2004,1101.65,75597.69,75796.46667,-416.9,213.5,2.005
2005,1102.2,75640.88,75839.8,-413.5,214.1,2.041
2006,1102.75,75683.32,75885,-415.7,213.7,1.956
2007,1103.3,75727.63,75930.2,-422.7,212.6,1.809
2008,1103.85,75775.55,75975.4,-420.9,212.8,1.818
2009,1104.4,75823.27,76023.9,-420.7,212.9,1.813
